DeviceName,Serial,Rule,TimeGenerated,TimeReceived,Type,Subtype,From,To,Source,SourceUser,SourcePort,SourceCountry,Destination,DestinationPort,DestinationCountry,Application,Action,NAT,NATSourceIP,NATSourcePort,NATDestinationIP,NATDestinationPort,Packets,PacketsSent,PacketsReceived,Bytes,BytesSent,BytesReceived,Protocol,SessionID,ParentSessionID,SessionEndReason,RepeatCount,Start,Elapsed,Category,ThreatCategory,ThreatName,ThreatID,Misc,Severity,Direction,InboundInterface,OutboundInterface,ID,Domain,ReceiveTime,SequenceNumber,ActionFlags,ConfigVersion,Vsys,Logset,Flags,Pcap,PcapID,Flagged,Proxy,URLDenied,CaptivePortal,NonStandardDestinationPort,Transaction,PBFClient2Server,PBFServer2Client,TemporaryMatch,SymmetricReturn,SSLDecryptMirror,CredentialDetected,MPTCP,TunnelInspected,ReconExcluded,TunnelType,TPadding,CPadding,TunnelIMSI,VsysID,ReportID,URLIndex,HTTPMethod,XForwardedFor,Referer,UserAgent,SignatureFlags,ContentVersion,FileDigest,Filetype,Sender,Recipient,Subject,Cloud,Padding,ActionSource,TunnelID,IMSI,MonitorTag,IMEI,DeviceGroupHierarchy1,DeviceGroupHierarchy2,DeviceGroupHierarchy3,DeviceGroupHierarchy4,Host,Command,Admin,Client,Result,Path,BeforeChangePreview,AfterChangePreview,FullPath,EventID,Module,Description
PANFW01,10000000000,From-Outside,6/14/2018 18:54,6/14/2018 18:54,TRAFFIC,end,Outside,Inside,20.x.x.x,,0,United States,10.x.x.x,0,10.0.0.0-10.255.255.255,ping,allow,no,,0,,0,2,1,1,196,98,98,icmp,474229,0,aged-out,1,6/14/2018 18:54,0,any,,,0,,,,ae1,ae2,382539,1,6/14/2018 18:54,0,0x0,1,vsys1,Panorama-Logging,0x100019,no,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,N/A,0,0,0,1,0,0,,,,,,,,,,,,,0,from-policy,0,,,,240,0,0,0,,,,,,,,,,,,
PANFW01,10000000000,From-Outside,6/14/2018 18:54,6/14/2018 18:54,TRAFFIC,end,Outside,Inside,20.x.x.x,,0,United States,10.x.x.x,0,10.0.0.0-10.255.255.255,ping,allow,no,,0,,0,2,1,1,196,98,98,icmp,647249,0,aged-out,1,6/14/2018 18:54,0,any,,,0,,,,ae1,ae2,382540,1,6/14/2018 18:54,0,0x0,1,vsys1,Panorama-Logging,0x100019,no,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,N/A,0,0,0,1,0,0,,,,,,,,,,,,,0,from-policy,0,,,,240,0,0,0,,,,,,,,,,,,
PANFW01,10000000000,From-Outside,6/14/2018 18:54,6/14/2018 18:54,TRAFFIC,end,Outside,Inside,20.x.x.x,,0,United States,10.x.x.x,0,10.0.0.0-10.255.255.255,ping,allow,no,,0,,0,2,1,1,196,98,98,icmp,1556184,0,aged-out,1,6/14/2018 18:54,0,any,,,0,,,,ae1,ae2,382541,1,6/14/2018 18:54,0,0x0,1,vsys1,Panorama-Logging,0x100019,no,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,N/A,0,0,0,1,0,0,,,,,,,,,,,,,0,from-policy,0,,,,240,0,0,0,,,,,,,,,,,,
PANFW01,10000000000,From-Outside,6/14/2018 18:54,6/14/2018 18:54,TRAFFIC,end,Outside,Inside,20.x.x.x,,0,United States,10.x.x.x,0,10.0.0.0-10.255.255.255,ping,allow,no,,0,,0,2,1,1,196,98,98,icmp,1337495,0,aged-out,1,6/14/2018 18:54,0,any,,,0,,,,ae1,ae2,382542,1,6/14/2018 18:54,0,0x0,1,vsys1,Panorama-Logging,0x100019,no,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,N/A,0,0,0,1,0,0,,,,,,,,,,,,,0,from-policy,0,,,,240,0,0,0,,,,,,,,,,,,
PANFW01,10000000000,From-Outside,6/14/2018 18:54,6/14/2018 18:54,TRAFFIC,end,Outside,Inside,20.x.x.x,,0,United States,10.x.x.x,0,10.0.0.0-10.255.255.255,ping,allow,no,,0,,0,2,1,1,196,98,98,icmp,995742,0,aged-out,1,6/14/2018 18:54,0,any,,,0,,,,ae1,ae2,382543,1,6/14/2018 18:54,0,0x0,1,vsys1,Panorama-Logging,0x100019,no,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,N/A,0,0,0,1,0,0,,,,,,,,,,,,,0,from-policy,0,,,,240,0,0,0,,,,,,,,,,,,
PANFW01,10000000000,From-Outside,6/14/2018 18:54,6/14/2018 18:54,TRAFFIC,end,Outside,Inside,20.x.x.x,,0,United States,10.x.x.x,0,10.0.0.0-10.255.255.255,ping,allow,no,,0,,0,2,1,1,196,98,98,icmp,1638824,0,aged-out,1,6/14/2018 18:54,0,any,,,0,,,,ae1,ae2,382544,1,6/14/2018 18:54,0,0x0,1,vsys1,Panorama-Logging,0x100019,no,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,N/A,0,0,0,1,0,0,,,,,,,,,,,,,0,from-policy,0,,,,240,0,0,0,,,,,,,,,,,,
PANFW01,10000000000,From-Outside,6/14/2018 18:54,6/14/2018 18:54,TRAFFIC,end,Outside,Inside,192.168.x.x,user4,55167,192.168.0.0-192.168.255.255,10.x.x.x,9997,10.0.0.0-10.255.255.255,ssl,allow,no,,0,,0,22,12,10,6537,1186,5351,tcp,33702276,0,tcp-rst-from-client,1,6/14/2018 18:54,2,financial-services,,,0,,,,ae1,ae2,382545,1,6/14/2018 18:54,0,0x0,1,vsys1,Panorama-Logging,0x10001c,no,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,N/A,0,0,0,1,0,0,,,,,,,,,,,,,0,from-policy,0,,,,240,0,0,0,,,,,,,,,,,,
PANFW01,10000000000,From-Outside,6/14/2018 18:54,6/14/2018 18:54,TRAFFIC,end,Outside,Inside,192.168.x.x,anonymous,64845,192.168.0.0-192.168.255.255,10.x.x.x,9997,10.0.0.0-10.255.255.255,ssl,allow,no,,0,,0,21,11,10,6476,1126,5350,tcp,34883095,0,tcp-rst-from-client,1,6/14/2018 18:54,0,financial-services,,,0,,,,ae1,ae2,382546,1,6/14/2018 18:54,0,0x0,1,vsys1,Panorama-Logging,0x10001c,no,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,N/A,0,0,0,1,0,0,,,,,,,,,,,,,0,from-policy,0,,,,240,0,0,0,,,,,,,,,,,,
PANFW01,10000000000,From-Outside,6/14/2018 18:54,6/14/2018 18:54,TRAFFIC,end,Outside,Inside,192.168.x.x,,3530,192.168.0.0-192.168.255.255,10.x.x.x,9997,10.0.0.0-10.255.255.255,ssl,allow,no,,0,,0,22,12,10,6648,1234,5414,tcp,1253794,0,tcp-rst-from-client,1,6/14/2018 18:54,2,financial-services,,,0,,,,ae1,ae2,382547,1,6/14/2018 18:54,0,0x0,1,vsys1,Panorama-Logging,0x10001c,no,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,N/A,0,0,0,1,0,0,,,,,,,,,,,,,0,from-policy,0,,,,240,0,0,0,,,,,,,,,,,,
PANFW02,10000000001,From-Outside,6/14/2018 18:54,6/14/2018 18:54,TRAFFIC,end,Outside,Inside,192.168.x.x,,53880,192.168.0.0-192.168.255.255,10.x.x.x,17472,10.0.0.0-10.255.255.255,tanium,allow,no,,0,,0,75,29,46,61445,2159,59286,tcp,35101702,0,tcp-fin,1,6/14/2018 18:54,18,any,,,0,,,,ae1.975,ae2,382548,1,6/14/2018 18:54,0,0x0,1,vsys1,Panorama-Logging,0x5e,no,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,N/A,0,0,0,1,0,0,,,,,,,,,,,,,0,from-policy,0,,,,240,0,0,0,,,,,,,,,,,,
